"Gemeenten";"Aandeel huishoudens met vermogen van minimaal € 5.000|2018";"Aandeel huishoudens met vermogen van minimaal € 10.000|2018";"Aandeel huishoudens met vermogen van minimaal € 20.000|2018";"Aandeel huishoudens met vermogen van minimaal € 15.000|2018";"Aandeel huishoudens met vermogen van minimaal € 25.000|2018";"Aandeel huishoudens met vermogen van minimaal € 30.000|2018";"Aandeel huishoudens met vermogen van minimaal € 35.000|2018";"Aandeel huishoudens met vermogen van minimaal € 40.000|2018";"Aandeel huishoudens met vermogen van minimaal € 45.000|2018";"Aandeel huishoudens met vermogen van minimaal € 50.000|2018"
"Schiedam";74;63;47;54;41;37;33;29;27;24
"Schiermonnikoog";85;77;63;70;59;53;51;45;42;40
"Schouwen-Duiveland";84;74;60;67;55;50;45;42;38;35
"'s-Hertogenbosch";86;77;63;70;57;52;47;43;39;36
"Simpelveld";83;73;58;64;51;46;42;38;34;31
"Sint Anthonis";91;83;71;76;64;59;55;50;46;42
"Sint-Michielsgestel";91;84;72;78;66;61;57;52;48;44
"Sittard-Geleen";82;71;56;63;49;44;40;36;33;30
"Sliedrecht";86;76;59;67;52;47;42;37;34;31
"Sluis";84;76;63;69;58;54;50;47;44;41
"Smallingerland";81;70;53;61;47;42;37;33;30;27
"Soest";88;80;67;72;61;56;52;48;45;41
"Someren";90;82;68;74;62;57;52;47;44;40
"Son en Breugel";89;82;69;75;63;58;54;50;46;43
"Stadskanaal";77;64;48;54;41;36;32;28;25;22
"Staphorst";92;84;70;77;64;59;54;50;47;43
"Stede Broec";81;70;53;61;46;41;37;33;30;27
"Steenbergen";82;72;57;64;51;46;42;38;35;32
"Steenwijkerland";83;72;57;64;51;46;41;37;34;30
"Stein";85;75;59;67;53;48;43;39;35;31
"Stichtse Vecht";87;78;64;70;58;53;49;46;42;39
"Súdwest-Fryslân";83;72;56;64;50;45;40;36;33;30
"Terneuzen";80;71;57;63;51;46;42;39;36;33
"Terschelling";86;75;61;67;56;52;48;45;41;37
"Texel";85;74;60;67;54;50;46;41;38;35
"Teylingen";89;81;68;74;62;57;52;48;45;41
"Tholen";83;72;57;64;51;46;41;37;34;31
"Tiel";80;68;53;60;47;42;38;34;31;28
"Tilburg";82;71;55;62;49;43;39;35;31;28
"Tubbergen";90;81;67;73;61;56;51;46;42;38
"Twenterand";83;72;55;63;49;43;39;35;31;28
"Tynaarlo";88;79;65;71;59;54;50;46;42;39
"Tytsjerksteradiel";86;75;59;66;53;47;42;37;34;30
"Uden";86;76;61;68;55;50;45;41;37;34
"Uitgeest";89;79;63;70;57;52;47;43;39;36
"Uithoorn";86;77;62;69;57;52;48;43;40;37
"Urk";76;61;43;51;38;33;28;24;21;19
"Utrecht";87;79;64;71;58;53;48;44;40;37
"Utrechtse Heuvelrug";91;84;72;77;67;63;58;54;51;48
"Vaals";78;68;55;61;49;45;41;38;34;31
"Valkenburg aan de Geul";86;77;63;69;57;52;47;43;39;36
"Valkenswaard";89;81;67;73;60;55;50;46;42;38
"Veendam";74;61;44;52;38;34;30;26;23;21
"Veenendaal";85;74;58;66;51;46;41;37;33;29
"Veere";90;82;68;75;62;57;53;49;45;43
"Veldhoven";89;80;66;72;59;54;50;46;42;38
"Velsen";84;73;57;65;51;46;42;38;35;32
"Venlo";80;69;53;60;47;41;37;33;30;27
"Venray";87;77;62;69;56;50;45;41;37;34
"Vijfheerenlanden";86;76;61;68;55;50;45;41;37;34
"Vlaardingen";79;68;52;60;46;41;37;33;30;27
"Vlieland";84;72;58;65;53;49;46;42;38;36
"Vlissingen";79;68;53;59;47;42;38;34;31;28
"Voerendaal";87;78;63;70;58;53;48;44;40;36
"Voorschoten";92;84;73;78;67;63;59;55;52;49
"Voorst";91;83;69;76;63;57;52;48;43;40
"Vught";90;82;69;75;64;59;55;51;48;44
"Waadhoeke";81;70;53;61;46;41;37;33;30;27
"Waalre";91;84;72;78;66;61;57;54;50;47
"Waalwijk";84;74;60;66;53;48;43;39;36;32
"Waddinxveen";86;76;61;67;55;50;45;41;37;34
"Wageningen";90;82;69;75;64;59;55;50;47;44
"Wassenaar";92;86;76;81;72;69;66;63;61;58
"Waterland";89;81;68;75;62;58;53;48;45;42
"Weert";87;78;64;71;58;52;48;44;40;37
"Weesp";85;76;62;68;57;52;48;44;40;37
"West Betuwe";88;79;65;71;59;54;49;45;42;38
"West Maas en Waal";88;79;65;71;59;54;49;45;41;38
"Westerkwartier";84;73;57;64;50;45;40;36;33;30
"Westerveld";87;78;63;70;57;52;47;43;40;37
"Westervoort";81;69;53;61;46;42;37;33;29;26
"Westerwolde";77;66;49;56;43;39;35;31;28;26
"Westland";89;80;66;73;61;56;51;47;43;40
