"Gemeenten";"energy";"electricity";"warmth";"transport"
"Hengelo";25,6;88,7;21,0;6,0
"Het Hogeland";32,6;74,9;4,6;4,0
"Heumen";5,6;9,6;4,4;5,3
"Heusden";4,2;6,6;2,8;5,8
"Hillegom";4,6;7,2;2,6;5,9
"Hilvarenbeek";5,3;10,6;1,8;5,9
"Hilversum";4,8;3,0;5,0;6,0
"Hoeksche Waard";11,0;47,3;4,8;4,5
"Hof van Twente";10,1;9,6;13,4;5,5
"Hollands Kroon";16,3;23,2;15,0;5,9
"Hoogeveen";5,2;7,4;4,0;6,0
"Hoorn";4,6;5,6;3,6;5,8
"Horst aan de Maas";4,1;9,0;2,4;5,7
"Houten";6,5;17,7;3,0;5,1
"Huizen";3,6;7,2;1,2;5,8
"Hulst";4,7;10,8;6,6;2,3
"IJsselstein";6,5;9,3;5,8;5,7
"Kaag en Braassem";6,6;7,8;6,9;6,0
"Kampen";13,3;20,8;14,8;5,5
"Kapelle";"?";42,7;"?";4,7
"Katwijk";4,4;4,6;3,9;5,9
"Kerkrade";3,5;5,0;2,2;5,9
"Koggenland";8,6;34,9;3,7;6,0
"Krimpen aan den IJssel";3,8;4,1;3,2;5,2
"Krimpenerwaard";6,6;5,7;9,0;4,5
"Laarbeek";3,5;5,4;2,2;5,9
"Landerd";6,6;9,7;6,1;6,0
"Landgraaf";6,6;14,1;4,0;5,9
"Landsmeer";"?";9,9;"?";5,8
"Langedijk";7,8;16,8;5,4;5,9
"Lansingerland";8,2;6,1;8,8;6,0
"Laren";4,7;1,9;3,9;6,0
"Leeuwarden";6,0;12,6;3,8;5,7
"Leiden";4,1;2,5;3,6;6,0
"Leiderdorp";4,5;5,1;2,6;6,0
"Leidschendam-Voorburg";3,8;3,2;2,0;6,0
"Lelystad";23,6;107,0;13,3;5,3
"Leudal";8,8;23,7;5,7;5,8
"Leusden";5,9;13,9;2,1;6,0
"Lingewaard";6,0;12,4;5,8;3,4
"Lisse";4,7;5,5;3,6;5,9
"Lochem";5,1;6,5;4,5;5,4
"Loon op Zand";7,6;5,1;10,0;6,0
"Lopik";7,9;28,7;3,5;4,5
"Losser";5,7;8,5;4,3;6,0
"Maasdriel";4,4;6,9;3,3;4,6
"Maasgouw";10,4;28,1;6,0;5,4
"Maassluis";"?";4,1;"?";3,6
"Maastricht";"?";2,9;"?";5,8
"Medemblik";18,3;26,4;20,1;5,9
"Meerssen";6,6;10,8;5,9;5,7
"Meierijstad";5,9;7,6;5,0;6,0
"Meppel";5,1;5,0;4,5;5,9
"Middelburg";6,7;23,1;1,9;5,9
"Midden-Delfland";10,8;9,9;12,5;6,5
"Midden-Drenthe";24,3;126,6;9,0;6,6
"Midden-Groningen";6,8;9,4;4,6;5,7
"Mill en Sint Hubert";6,0;8,9;4,8;6,0
"Moerdijk";"?";79,4;"?";4,9
"Molenlanden";6,7;16,5;4,5;4,9
"Montferland";7,2;16,5;4,2;5,9
"Montfoort";7,1;12,7;5,6;5,8
"Mook en Middelaar";6,1;10,1;5,5;4,6
"Neder-Betuwe";10,6;17,6;18,9;4,3
"Nederweert";8,6;17,7;5,1;5,8
"Nieuwegein";6,2;13,9;2,4;5,5
"Nieuwkoop";4,5;6,5;3,4;5,8
"Nijkerk";6,5;7,5;6,4;6,0
"Nijmegen";4,0;5,8;2,3;5,2
"Nissewaard";3,0;2,7;2,0;5,0
"Noardeast-Fryslân";15,4;24,1;7,9;5,7
"Noord-Beveland";36,8;156,2;6,6;5,8
"Noordenveld";5,5;2,6;9,2;5,9
"Noordoostpolder";"?";315,7;"?";5,5
"Noordwijk";4,0;5,2;2,5;5,9
"Nuenen c.a.";7,2;9,3;6,8;6,7
"Nunspeet";4,3;3,7;2,7;6,0
"Oegstgeest";5,8;5,8;5,8;5,9
"Oirschot";9,0;26,0;7,5;6,0
"Oisterwijk";7,6;15,7;5,6;6,0
"Oldambt";3,8;2,8;4,1;5,1
"Oldebroek";5,8;8,2;4,5;6,0
"Oldenzaal";4,6;5,6;3,3;6,0
"Olst-Wijhe";7,5;8,8;8,7;5,3
"Ommen";7,8;5,1;15,1;6,0
"Oost Gelre";8,8;7,8;11,1;5,9
"Oosterhout";"?";11,5;"?";6,0
"Ooststellingwerf";11,5;32,0;6,1;5,9
"Oostzaan";5,7;7,2;4,6;6,0
"Opmeer";7,1;11,2;5,9;5,9
"Opsterland";6,0;11,6;3,8;5,9
"Oss";5,5;8,2;3,8;5,7
"Oude IJsselstreek";10,1;16,8;9,8;5,9
"Ouder-Amstel";5,5;5,8;3,6;6,0
"Oudewater";5,7;9,5;4,2;5,7
"Overbetuwe";5,4;6,1;5,2;5,3
"Papendrecht";4,2;3,8;3,6;5,0
"Peel en Maas";5,5;10,5;4,5;5,8
"Pekela";5,1;6,1;4,4;6,0
"Pijnacker-Nootdorp";9,3;5,3;10,5;5,9
"Purmerend";45,9;7,1;71,6;5,9
"Putten";5,6;5,8;5,1;6,0
"Raalte";8,5;13,1;8,1;6,0
"Reimerswaal";14,4;87,9;"?";2,6
"Renkum";"?";2,0;"?";5,9
"Renswoude";5,9;12,1;2,5;5,9
"Reusel-De Mierden";22,8;72,1;9,3;6,0
"Rheden";4,7;6,1;3,7;5,5
"Rhenen";5,5;9,2;4,2;5,7
"Ridderkerk";4,3;4,4;2,1;5,8
"Rijssen-Holten";8,6;6,8;12,7;6,1
"Rijswijk";3,2;3,4;1,2;5,9
"Roerdalen";7,0;13,3;5,8;6,0
"Roermond";2,0;3,1;0,5;5,9
"Roosendaal";14,0;47,1;5,1;6,0
"Rotterdam";4,1;11,9;2,9;3,2
"Rozendaal";7,0;9,8;6,8;5,9
"Rucphen";5,8;6,2;5,4;6,0
"Schagen";11,4;30,2;4,5;5,9
"Scherpenzeel";4,3;3,6;4,2;6,0
"Schiedam";3,4;2,1;2,2;5,4
"Schiermonnikoog";4,6;15,1;2,7;2,2
