"Gemeenten";"CO2-uitstoot Gebouwde Omgeving (aardgas elektr. en stadswarmte woningen)|2019";"CO2-uitstoot Verkeer en vervoer incl. auto(snel)wegen excl. elektr. railverkeer (scope 1)|2019";"CO2-uitstoot Industrie Energie Afval en Water (aardgas en elektr.)|2019";"CO2-uitstoot Landbouw bosbouw en visserij SBI A (aardgas elektr.)|2019";"Totaal bekende CO2-uitstoot (aardgas elektr. stadswarmte woningen voertuigbrandstoffen)|2019"
"Hellendoorn";84456;49778;62362;6678;203300
"Hellevoetsluis";76601;41159;-1;-1;169900
"Helmond";222700;98433;170358;19029;510500
"Hendrik-Ido-Ambacht";51642;44787;4419;-1;-1
"Hengelo";215500;129242;-1;1528;663000
"Het Hogeland";-1;109669;-1;-1;639500
"Heumen";38384;53532;2638;-1;96200
"Heusden";96000;87622;54576;66740;304900
"Hillegom";50895;16337;9507;9181;85900
"Hilvarenbeek";42066;32544;3063;7038;84700
"Hilversum";259569;98564;13782;375;372300
"Hoeksche Waard";183476;251110;48469;27864;510900
"Hof van Twente";88855;71107;-1;15158;220000
"Hollands Kroon";-1;155617;-1;-1;1283000
"Hoogeveen";140496;130003;-1;5201;390600
"Hoorn";163911;57828;25732;980;248500
"Horst aan de Maas";122529;117533;34859;210175;485100
"Houten";95145;83789;8706;19475;207100
"Huizen";-1;41328;14028;166;145700
"Hulst";67346;118944;14095;4346;204700
"IJsselstein";63345;30917;12733;725;107700
"Kaag en Braassem";56720;102817;5310;49708;214600
"Kampen";116323;95217;42976;81020;335500
"Kapelle";28590;49970;-1;-1;-1
"Katwijk";137965;44550;27469;40704;250700
"Kerkrade";117769;37531;93978;182;249500
"Koggenland";45964;80350;11742;48867;186900
"Krimpen aan den IJssel";56519;17267;10158;107;84100
"Krimpenerwaard";116485;104341;21951;4835;247600
"Laarbeek";-1;44912;69963;41275;205500
"Landerd";40557;62638;3003;6131;112300
"Landgraaf";89423;26327;13866;332;129900
"Landsmeer";22782;12228;-1;472;-1
"Langedijk";54620;27863;25028;2178;109700
"Lansingerland";136837;88275;-1;544012;781200
"Laren";42439;44377;1828;495;89100
"Leeuwarden";328460;202084;122838;6366;659700
"Leiden";320303;142835;30278;501;493900
"Leiderdorp";62661;49301;935;180;113100
"Leidschendam-Voorburg";162733;122581;2575;13124;301000
"Lelystad";196073;299283;75811;3114;574300
"Leudal";98106;116821;23716;26059;264700
"Leusden";69578;63726;4357;1969;139600
"Lingewaard";100188;81464;47918;72671;302200
"Lisse";-1;19962;5458;5155;83800
"Lochem";90256;76488;66629;10330;243700
"Loon op Zand";65780;36839;4596;1653;108900
"Lopik";30852;47145;6886;3829;88700
"Losser";54132;49058;13276;3871;120300
"Maasdriel";62744;106243;39008;41838;249800
"Maasgouw";62683;67107;23795;992;154600
"Maassluis";58152;21271;2428;-1;-1
"Maastricht";367961;128851;-1;600;-1
"Medemblik";109738;86907;30864;162017;389500
"Meerssen";45882;36613;9263;741;92500
"Meierijstad";216158;193500;246537;29922;686100
"Meppel";92925;76003;71718;1624;242300
"Middelburg";113272;55913;-1;4132;242200
"Midden-Delfland";37336;84558;-1;-1;333100
"Midden-Drenthe";-1;123177;-1;14065;301200
"Midden-Groningen";152043;139675;323799;40879;656400
"Mill en Sint Hubert";28016;18182;4982;9522;60700
"Moerdijk";141954;306565;-1;43006;-1
"Molenlanden";88141;141430;45722;6670;282000
"Montferland";87098;54000;39280;5003;185400
"Montfoort";30786;21173;5111;1893;59000
"Mook en Middelaar";19123;9301;4497;267;33200
"Neder-Betuwe";61359;159198;44392;7000;271900
"Nederweert";43042;30521;10880;12550;97000
"Nieuwegein";-1;150992;25586;516;331800
"Nieuwkoop";61275;37077;12628;51056;162000
"Nijkerk";109434;77831;64940;3766;256000
"Nijmegen";468660;227676;121132;3416;820900
"Nissewaard";-1;74851;70646;772;313800
"Noardeast-Fryslân";106314;72431;-1;12586;228900
"Noord-Beveland";26571;26735;2824;4674;60800
"Noordenveld";84373;44995;-1;3964;264700
"Noordoostpolder";125181;223080;21249;-1;-1
"Noordwijk";132110;50998;6554;21272;210900
"Nuenen c.a.";54811;35667;10407;2061;102900
"Nunspeet";73480;82047;45759;2150;203400
"Oegstgeest";-1;31397;2020;468;84800
"Oirschot";-1;104322;8114;18158;186400
"Oisterwijk";84696;69104;-1;7869;169000
"Oldambt";106519;93400;244912;4736;449600
"Oldebroek";52956;76231;-1;3147;150600
"Oldenzaal";82000;43118;42843;553;168500
"Olst-Wijhe";50282;35866;9464;5855;101500
"Ommen";50234;65024;-1;-1;249200
"Oost Gelre";80168;48480;37028;11020;176700
"Oosterhout";168004;142986;-1;12071;-1
"Ooststellingwerf";61870;46922;25998;-1;142300
"Oostzaan";21245;29869;4866;144;56100
"Opmeer";26878;15271;6449;4885;53500
"Opsterland";71389;97496;-1;7202;188900
"Oss";221413;146071;175299;13677;556500
"Oude IJsselstreek";94333;69396;39087;7608;210400
"Ouder-Amstel";69952;112359;2848;489;185600
"Oudewater";22460;13006;2961;1822;40200
"Overbetuwe";-1;209674;-1;12811;380600
"Papendrecht";63600;66017;17457;-1;149600
"Peel en Maas";110255;128465;43602;241372;523700
"Pekela";32370;21765;31270;880;86300
"Pijnacker-Nootdorp";98590;39252;3969;269115;410900
"Purmerend";130649;55149;6133;-1;194600
"Putten";59269;73264;22316;5545;160400
"Raalte";90975;68598;30104;12148;202000
"Reimerswaal";59966;254241;101710;-1;524000
"Renkum";88048;65787;-1;777;-1
"Renswoude";11557;18613;2700;-1;34600
"Reusel-De Mierden";30340;17894;2787;9906;60900
"Rheden";112594;58717;13026;923;185300
"Rhenen";43897;34356;12471;1558;92300
"Ridderkerk";109937;131135;14004;21011;276100
"Rijssen-Holten";-1;118331;28292;4760;242800
"Rijswijk";146642;70712;11165;988;229500
"Roerdalen";-1;44258;-1;2761;-1
"Roermond";178297;113075;359206;1380;652000
"Roosendaal";209295;147418;61695;30519;448900
"Rotterdam";1970163;1929560;8144867;58908;12103500
"Rozendaal";-1;2328;-1;-1;7400
"Rucphen";55401;54561;12140;5997;128100
"Schagen";124410;84225;-1;-1;271800
"Scherpenzeel";20233;8534;20983;1142;50900
"Schiedam";164083;114895;24758;238;304000
"Schiermonnikoog";6041;3463;-1;305;10000
"Schouwen-Duiveland";105811;101102;10853;34995;252800
"'s-Hertogenbosch";432286;329009;84713;4534;850600
"Simpelveld";24868;10801;763;460;36900
"Sint Anthonis";28505;25026;2004;15223;70800
"Sint-Michielsgestel";65809;40147;1832;4157;111900
"Sittard-Geleen";261378;229723;-1;-1;-1
"Sliedrecht";53679;52905;19558;92;126200
"Sluis";87883;62378;6133;4782;161200
"Smallingerland";137057;120050;51083;3747;311900
"Soest";121494;56391;15935;855;194700
"Someren";45363;65683;13923;105027;230000
"Son en Breugel";-1;48814;49724;1705;157600
"Stadskanaal";-1;35184;10039;2490;131400
"Staphorst";41499;97662;25976;6061;171200
"Stede Broec";47131;18035;2068;19060;86300
"Steenbergen";56036;105135;-1;-1;-1
"Steenwijkerland";108239;97587;20760;8669;235300
"Stein";66021;29129;2123;337;97600
"Stichtse Vecht";147099;279785;12154;8832;447900
"Súdwest-Fryslân";225570;219252;98878;-1;563500
"Terneuzen";152239;276887;-1;17440;-1
"Terschelling";22274;17895;690;470;41300
"Texel";60887;39714;-1;3341;106600
"Teylingen";82024;52339;22390;9994;166700
"Tholen";54136;80652;10252;34624;179700
"Tiel";121733;108657;62697;1178;294200
"Tilburg";521600;346036;260642;3287;1130800
"Tubbergen";52136;40108;7537;11085;110900
"Twenterand";75149;41888;32587;5466;155100
"Tynaarlo";87220;70603;-1;4569;168100
"Tytsjerksteradiel";70989;59547;-1;4482;223600
"Uden";117762;74539;49021;14573;255900
"Uitgeest";29288;42910;1536;496;74200
"Uithoorn";69296;22557;16268;17959;126100
"Urk";50392;17491;16932;631;85500
"Utrecht";818039;596312;100743;1741;1516800
"Utrechtse Heuvelrug";141086;161340;3927;3276;309600
"Vaals";29535;9326;758;437;40100
"Valkenburg aan de Geul";58556;32046;995;1078;92700
"Valkenswaard";-1;43677;-1;-1;-1
"Veendam";72486;39656;-1;1936;-1
"Veenendaal";149524;60968;41678;657;256400
"Veere";70981;38043;1515;6094;116600
"Veldhoven";111156;59456;96769;3395;270800
"Velsen";164356;175260;-1;1873;-1
"Venlo";329056;242468;190539;110109;872200
"Venray";123405;117212;84615;44939;370200
"Vijfheerenlanden";123708;279995;161720;5408;570800
"Vlaardingen";156973;73926;28133;182;259200
"Vlieland";7218;2484;222;-1;10200
"Vlissingen";118174;297464;-1;389;-1
"Voerendaal";-1;25264;-1;893;56700
"Voorschoten";53766;14410;1046;-1;70300
"Voorst";-1;93414;6769;9220;175800
"Vught";86022;77101;2758;3768;169600
"Waadhoeke";101636;90855;63195;107845;363500
"Waalre";40954;39779;1835;612;83200
"Waalwijk";149885;106420;77125;3438;336800
"Waddinxveen";67582;90284;6675;104000;268500
"Wageningen";105802;31180;10265;5125;152400
"Wassenaar";92342;55763;1967;1435;151500
"Waterland";-1;46033;3001;1411;86700
"Weert";139030;129731;65244;7831;341800
"Weesp";46594;18902;35266;411;101200
"West Betuwe";135464;382894;88685;92861;700200
"West Maas en Waal";48384;61183;3884;5011;118500
"Westerkwartier";149790;188556;-1;15586;449800
"Westerveld";59117;53278;2638;5552;120600
"Westervoort";-1;10807;-1;43;-1
"Westerwolde";72692;37175;-1;-1;-1
"Westland";-1;147462;57738;1981785;2465500
"Weststellingwerf";64701;71353;15992;7629;159700
"Westvoorne";37723;15848;1604;110611;165800
"Wierden";54260;78056;17972;5596;155900
"Wijchen";95572;84842;55653;3340;239400
"Wijdemeren";62428;30880;4075;1711;99100
"Wijk bij Duurstede";47347;31888;3174;1977;84400
"Winterswijk";79424;39541;-1;6022;145500
"Woensdrecht";62439;74072;23248;5403;165200
"Woerden";126081;214976;27966;57705;426700
"Wormerland";31252;55192;46969;1444;134900
"Woudenberg";29243;39367;2124;2252;73000
"Zaanstad";339760;159352;298039;7613;804800
"Zaltbommel";76961;122726;50340;-1;-1
"Zandvoort";51939;8958;813;65;61800
"Zeewolde";63689;95620;29850;10943;200100
